Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
  Vincentian,4130,315,85,65,85,790,210,475,120,175,90,35,60,80,55,30,130,65,40,70,125,285,145,140,255,205
  Jordanian,1365,25,15,110,10,45,55,50,30,20,200,155,30,95,10,65,110,100,75,15,35,25,0,0,65,10
  Manitoban,170,0,10,0,10,0,0,0,0,0,0,30,10,20,15,10,0,0,0,10,0,0,0,0,0,0
  Cape Bretoner,285,10,10,10,15,15,0,0,15,20,0,20,15,15,30,15,10,0,0,20,0,0,10,0,0,30
  Rwandan,630,0,0,10,25,30,0,45,0,30,110,15,0,80,25,30,25,0,0,25,30,50,10,0,30,20
  Grenadian,5055,335,110,135,125,850,130,400,225,220,120,40,255,90,145,90,215,95,35,195,220,120,85,180,345,305
  Malayali,1850,100,70,50,50,20,0,40,75,45,45,50,50,55,0,30,50,55,125,70,85,115,160,30,290,190
  Chaldean,1270,765,70,10,0,10,50,275,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Sinhalese,2320,210,55,65,50,20,0,85,80,60,80,10,105,50,40,65,75,215,25,30,100,130,145,100,210,310
  Mayan,1250,20,0,85,45,245,70,80,85,85,65,45,60,55,65,10,0,35,10,25,35,50,25,0,45,0
  Honduran,1040,100,30,70,35,165,75,110,15,75,45,30,30,20,15,0,15,45,10,50,30,25,0,0,0,20
  Cherokee,305,0,0,25,35,0,10,10,0,25,15,15,10,10,30,0,15,0,0,15,15,0,0,0,25,0
  Qalipu Mi'kmaq,85,0,0,20,0,0,10,0,15,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
  Indo-Caribbean,2975,235,80,80,80,185,95,195,40,140,155,65,110,85,20,0,100,95,15,65,180,235,35,110,90,470
  Flemish,470,0,40,40,30,0,0,0,10,10,20,15,25,10,80,30,10,0,15,65,10,20,0,0,0,25
  United Empire Loyalist,800,20,80,70,40,15,10,0,35,40,25,40,70,55,60,70,20,25,15,70,10,0,0,0,10,15
  Senegalese,300,0,0,0,15,15,0,0,25,25,60,10,0,0,0,10,0,30,0,0,20,15,0,0,15,0
  Azerbaijani,2375,0,75,95,35,0,355,10,75,25,115,75,60,90,30,135,130,335,465,85,45,45,0,25,40,0
  Sicilian,1005,45,10,50,70,70,40,45,15,55,50,30,40,55,65,0,40,25,0,65,70,55,20,0,50,45
  Pashtun,1755,95,65,25,0,0,30,85,0,0,95,35,0,65,25,390,205,40,40,45,65,80,30,170,105,60
  Malay,1715,40,20,70,20,25,70,90,65,35,85,50,45,125,20,35,85,70,100,20,185,215,35,45,60,115
  Goan,2105,100,215,200,80,0,30,30,20,60,100,15,60,55,50,30,100,105,70,95,75,85,150,100,35,215
"  Bantu, n.o.s.",940,110,40,50,25,45,50,30,0,15,25,15,25,75,15,15,75,15,0,40,100,40,50,10,10,30
  Tibetan,6335,210,390,2370,1870,260,35,30,25,185,105,40,10,145,80,0,80,10,70,55,205,95,25,0,45,0
  Zimbabwean,745,20,25,60,0,65,20,25,25,20,60,15,55,10,45,35,55,20,0,60,0,40,0,0,15,20
  Burmese,1220,70,55,45,70,0,55,90,50,10,45,60,15,70,135,30,85,50,50,45,20,10,35,50,40,30
  Mongolian,1255,0,120,150,100,45,60,105,45,10,60,55,15,90,45,60,45,30,75,25,30,25,35,10,0,0
  Azorean,1470,10,95,115,70,200,0,50,95,485,60,100,30,10,10,15,0,0,0,35,10,10,0,0,0,55
  Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Bamileke,315,0,0,0,0,40,0,45,0,0,0,0,0,10,0,0,15,0,0,0,50,0,45,0,0,0
  Indo-Guyanese,2765,205,45,50,60,160,55,275,50,40,65,10,70,50,45,15,60,90,35,35,85,300,50,200,280,445
  Ugandan,2190,115,70,130,65,270,75,70,20,60,120,65,80,165,45,55,75,140,45,50,155,80,0,50,65,100
  Oromo,1785,80,65,50,55,245,75,55,145,50,55,0,45,185,35,10,70,0,0,50,265,145,0,15,45,0
  Tanzanian,1810,115,15,95,30,110,30,105,70,20,100,55,25,100,95,55,255,100,40,45,30,80,50,40,65,85
  Yemeni,1635,160,95,20,90,55,40,50,70,25,95,50,135,145,0,60,105,25,45,75,75,125,35,0,30,25
  Central African,155,0,0,0,10,40,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
  Libyan,575,0,35,45,10,0,0,0,40,0,40,20,15,80,0,60,25,35,40,0,0,30,0,15,0,0
  Basque,355,0,20,50,40,0,0,0,15,25,30,40,30,20,35,15,0,0,0,0,0,0,0,0,0,0
  Uruguayan,1475,50,115,60,60,140,235,145,60,55,50,65,65,50,15,35,20,45,65,0,15,30,35,0,0,20
"  Akan, n.o.s.",1125,345,105,35,0,70,60,250,15,15,15,10,15,20,0,0,20,0,0,0,25,0,0,15,35,60
"  Central or West African, n.o.s.",1390,105,35,85,50,40,55,95,55,105,85,55,85,90,90,0,20,45,40,15,20,35,25,35,50,80
  Igorot,1120,80,0,55,0,40,295,155,60,0,0,0,20,40,0,35,40,25,80,15,15,50,30,0,30,40
  Fulani,400,0,0,0,0,35,0,30,0,15,10,0,30,50,20,0,0,0,0,0,25,0,0,0,35,20
  Woodland Cree,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Guinean,285,0,10,0,0,25,0,40,25,20,10,0,20,0,0,0,0,25,0,0,0,0,0,0,0,0
  St. Lucian,2450,255,25,70,35,550,90,375,110,65,45,50,80,45,30,10,70,35,20,120,70,85,35,10,85,90
  Prince Edward Islander,315,0,0,85,0,0,0,0,20,10,20,10,15,15,20,15,0,10,15,30,0,0,0,0,0,0
  Maliseet,40,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
  Beninese,465,35,0,15,0,45,45,55,10,0,45,20,0,55,0,0,30,0,0,0,20,0,0,0,25,25
  Telugu,1445,55,10,40,10,0,35,60,25,25,55,30,55,105,30,0,85,145,35,50,170,130,135,45,85,25
  Roma,1500,0,45,80,155,115,20,55,55,120,35,30,75,15,35,70,160,0,10,85,115,45,0,55,75,35
  Costa Rican,890,65,35,40,40,150,50,120,30,55,50,20,25,25,15,0,30,15,25,30,0,20,0,0,0,0
  African Nova Scotian,565,15,25,25,20,65,0,15,0,45,20,0,30,10,15,0,20,0,0,25,15,80,25,40,15,0
  Malagasy,135,0,0,20,0,0,0,0,0,20,0,15,0,15,10,0,0,0,0,0,0,0,0,0,0,0
  Kashmiri,890,85,60,60,30,50,0,35,0,0,35,35,0,30,30,55,40,30,45,0,20,20,20,0,40,80
  Singaporean,860,0,20,20,50,20,0,0,30,35,95,45,40,55,25,30,0,35,75,85,35,25,50,35,15,0
  Karen,260,0,0,0,0,0,0,190,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Edo,1250,270,0,30,0,125,65,295,25,0,15,15,0,25,0,0,45,45,30,0,40,20,75,0,25,45
  Tajik,1540,185,70,35,20,0,115,45,0,10,40,0,35,30,30,105,140,105,25,50,55,150,45,20,105,120
  Amhara,1980,90,85,50,65,150,20,30,20,45,55,40,35,260,50,40,135,0,10,150,215,185,0,50,115,90
  Paraguayan,210,15,0,15,20,10,0,0,0,25,0,10,15,10,0,15,0,0,0,0,0,0,0,0,0,20
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Visible minority for the population in private households - 25% sample data,2761285,115115,117205,139920,104715,115675,107360,111200,114820,104730,135405,102385,114095,116935,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
  Total visible minority population,1537285,90130,37210,48675,30445,67120,56405,86975,42265,35215,70400,38445,39925,67145,35815,47415,59525,83870,83210,39225,67555,83025,85350,86675,78525,76755
    South Asian,385445,32480,7885,10850,5385,6635,4430,15295,4525,4820,17365,6215,7170,16095,6010,13405,17285,15565,8865,12295,27245,31780,15565,25190,37150,35950
    Chinese,296225,1420,3630,5570,4070,2175,3550,2715,5525,5520,19660,14725,5745,14405,11670,12420,7235,32920,29655,5635,5640,8890,44455,39710,4810,4485
    Black,265005,27635,8280,8025,6310,27765,8610,27380,6565,7100,8265,3550,6820,12005,5495,3835,9880,5725,2865,8265,13565,11060,7495,7740,15600,15185
    Filipino,170350,5620,3455,4485,2785,7820,20675,8900,12460,3150,3465,1395,5155,5805,2560,3505,7170,5675,7585,3570,9485,14650,6520,6380,9035,9035
    Latin American,42040,3280,1135,1810,730,820,935,1840,695,665,3150,1655,1130,2830,865,1545,3600,2805,1690,720,1115,3765,2220,700,1375,965
    Arab,92460,6275,4625,4590,2775,10580,5760,9970,4520,6135,4655,2265,4640,3880,1695,2155,2290,2490,2285,2230,1710,1835,1155,920,1585,1430
    Southeast Asian,53900,2065,1360,2085,2015,5275,4000,11290,1680,2450,2740,1295,1160,2515,2050,615,805,1360,1540,715,1105,1340,1330,955,1060,1095
    West Asian,69315,3405,1300,1850,545,575,2725,1870,1570,525,2565,1605,2255,2360,780,5310,5520,8940,12865,1265,1855,2960,2020,710,2690,1275
    Korean,42195,535,1960,2370,745,345,1715,530,1290,830,2415,2195,2075,2615,665,1595,1360,4350,11555,705,400,470,710,195,265,275
    Japanese,13215,95,475,765,840,255,150,85,405,610,970,955,850,925,825,525,680,625,900,635,510,330,240,120,250,205
"    Visible minority, n.i.e.",42435,4135,1335,3545,2360,1865,1345,3570,900,1215,1440,580,795,935,690,745,1435,835,810,915,1925,2630,1220,1325,2370,3495
    Multiple visible minorities,64700,3195,1775,2730,1895,3010,2510,3525,2120,2195,3705,2010,2125,2775,2500,1760,2255,2590,2585,2285,2995,3315,2425,2735,2335,3350
  Not a visible minority,1224000,24985,79995,91245,74265,48555,50955,24230,72560,69515,65000,63945,74170,49790,68745,53605,34810,28715,33915,69275,42545,28535,18340,7350,24235,24730
,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour Force,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Population aged 15 years and over by Labour force status - 25% sample data,2377950,96620,99900,121460,89700,97205,91800,92430,95710,91630,126130,93395,100635,107625,88370,83725,79750,98425,103695,89815,91970,94595,90390,80925,85580,86445
  In the labour force,1518420,57265,61275,82950,62770,57395,58030,53120,61360,62975,101755,63250,68825,75190,59950,52550,47800,60060,64830,59010,55025,56030,49440,45490,50075,52015
    Employed,1308110,47840,53450,73170,54650,48010,49825,43655,53845,54715,91810,55190,61350,63845,52435,46200,40605,51425,56595,51100,46020,47210,41315,37745,41920,44200
    Unemployed,210305,9430,7830,9780,8120,9385,8200,9465,7510,8260,9945,8065,7470,11345,7515,6345,7200,8630,8240,7910,9005,8815,8125,7740,8155,7815
  Not in the labour force,859525,39355,38625,38510,26925,39810,33770,39315,34350,28660,24385,30145,31815,32435,28425,31175,31950,38375,38860,30810,36945,38565,40950,35445,35505,34435
Unemployment rate,14%,17%,13%,12%,13%,16%,14%,18%,12%,13%,10%,13%,11%,15%,13%,12%,15%,14%,13%,13%,16%,16%,16%,17%,16%,15%
,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total - Men+ aged 15 years and over by Labour force status - 25% sample data,1139350,47220,47230,58535,42705,45985,43025,43985,44005,44695,62505,44860,46100,56565,42900,39695,37130,46275,48670,43095,44745,45335,42505,38930,41100,41540
  Participation rate Men+,68.1,64.4,66.2,72.3,73,63.6,67.2,62,69,71.4,83.5,71.5,72.6,72.9,70.7,69.2,65.8,65.6,66.5,68.9,63.5,64.4,60.1,60.7,64,64.2
  Total - Woman+ aged 15 years and over by Labour force status - 25% sample data,1238595,49405,52670,62925,46990,51225,48770,48450,51700,46935,63625,48540,54535,51060,45470,44030,42620,52150,55030,46720,47220,49260,47880,41995,44475,44905
  Participation rate Women+,59.9,54.4,57,64.6,67.2,54.9,59.7,53.3,60,66.2,77.9,64.3,64.8,66.5,65.1,57,54.8,57,59,62.7,56.4,54.5,49.9,52.1,53.5,56.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
  All occupations,1463585,54670,59325,80455,61115,55230,55870,50610,59505,61375,99770,61455,67120,72305,58310,50750,45655,57460,62395,56835,52380,53490,47030,43195,47520,49760
    0 Management occupations,24770,225,1370,1670,1430,315,580,140,1785,895,2280,1975,2115,1210,1450,2125,590,585,935,1410,575,195,260,145,175,330
"    1 Business, finance and administration occupations",315270,8570,12960,18755,12625,8680,9810,7175,13560,11665,31000,14415,16455,17760,13085,12990,9805,12755,15050,12585,10400,9655,9185,7740,8350,10255
    2 Natural and applied sciences and related occupations,159765,3970,6060,8920,6490,3030,4445,2520,4855,5130,16475,7305,7595,10580,5660,5400,5315,10270,10820,5610,4705,5240,5685,4195,4635,4865
    3 Health occupations,105465,3950,3995,5270,4085,3885,5430,4095,5865,2825,5215,4400,4725,4900,3470,4615,3320,4265,4860,3420,3960,4335,3440,2960,4100,4085
"    4 Occupations in education, law and social, community and government services",181940,4710,7480,9960,9885,5220,6285,4000,9335,8860,11440,11065,11190,9985,9635,7235,4870,6380,6970,9050,6025,4715,4170,3590,4575,5325
"    5 Occupations in art, culture, recreation and sport",83135,905,2235,4430,7025,1670,1715,900,2630,7060,8235,6540,5490,5900,6245,2740,1695,2180,2710,4905,2065,1205,1405,850,1115,1285
    6 Sales and service occupations,350240,14940,13810,18150,13165,15095,14160,14210,13365,14430,18925,11870,13835,16485,12445,10485,12120,13305,13970,12520,14295,16015,13170,12925,13590,12960
"    7 Trades, transport and equipment operators and related occupations",175500,11625,9200,10565,5010,12870,9045,10635,5945,8260,5085,2960,4460,4480,5000,3930,6200,5690,5325,5725,7825,8405,6160,6420,7400,7275
"    8 Natural resources, agriculture and related production occupations",8350,435,425,480,325,545,425,390,310,470,245,335,330,220,295,285,290,230,215,335,380,380,250,180,290,295
    9 Occupations in manufacturing and utilities,59145,5335,1805,2260,1075,3925,3965,6540,1860,1780,865,590,925,775,1030,935,1460,1810,1535,1285,2155,3350,3300,4195,3295,3090
,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
  All industry categories,1463585,54670,59325,80455,61115,55230,55870,50610,59505,61375,99770,61455,67120,72305,58310,50750,45655,57460,62395,56835,52380,53490,47030,43195,47520,49760
"    11 Agriculture, forestry, fishing and hunting",2570,110,110,170,115,90,85,140,85,75,145,135,135,160,115,95,40,45,115,105,115,95,75,65,55,85
"    21 Mining, quarrying, and oil and gas extraction",1990,20,80,145,120,35,45,40,110,40,270,125,115,150,80,105,55,40,65,105,45,55,30,35,35,30
    22 Utilities,6115,150,280,505,255,155,145,80,180,195,475,220,235,260,300,190,130,270,270,345,230,225,240,130,190,460
    23 Construction,83030,4245,5140,5600,2505,7600,4775,4895,3315,5265,2810,1620,2650,1780,2510,1965,2690,2625,2910,2570,3000,2945,2440,2345,2300,2550
    31-33 Manufacturing,97585,7515,4130,5390,2505,5220,5805,8190,3315,3055,2965,1650,2325,1850,2050,2105,2620,3895,3520,2355,3315,4845,4830,5310,4500,4315
    41 Wholesale trade,45385,2020,2445,3610,1805,1755,2065,1740,1985,1390,2920,1320,1555,1505,1355,1590,1425,1890,2090,1395,1340,1730,1850,1860,1320,1420
    44-45 Retail trade,141575,6370,6160,8030,5225,5950,5745,5940,5550,5895,7015,4700,5520,5995,4835,4275,5280,5405,5675,4940,5435,6215,5490,5150,5550,5255
    48-49 Transportation and warehousing,67325,5785,3530,4100,2035,3805,2730,3875,1625,1860,2475,1075,1470,2190,1700,1885,2700,2610,2230,2145,3215,3360,2335,2345,3125,3115
    51 Information and cultural industries,60845,980,1705,3590,4275,1290,1105,705,1675,4285,6695,3740,3225,4200,4135,1725,1725,1845,2035,3510,1815,1505,1215,1090,1275,1515
    52 Finance and insurance,123495,2315,4315,6730,4040,2430,3180,1760,5335,3445,15270,6045,6665,8080,4710,5720,3750,5680,7035,4730,3820,4045,3705,3260,3285,4145
    53 Real estate and rental and leasing,41035,1000,1945,2285,1530,1085,1555,770,2470,1210,2945,2075,2610,1770,1735,2275,1450,1950,2240,1375,1420,1275,1155,845,985,1080
"    54 Professional, scientific and technical services",205875,3425,6990,11625,10290,3475,5145,2555,9070,8515,24885,12765,13320,14395,9330,8745,5530,9675,10920,8505,5180,4475,4995,3730,4010,4335
    55 Management of companies and enterprises,9170,105,350,515,370,160,235,125,395,275,1145,430,485,690,485,415,315,395,495,440,280,230,210,145,180,310
"    56 Administrative and support, waste management and remediation services",75090,4260,2980,3595,2180,4340,3235,3715,2865,3265,2880,1750,2660,3085,2100,2005,3075,2940,2265,2675,3200,3820,2730,2550,3605,3330
    61 Educational services,107475,2665,4875,5700,6070,3180,3650,2285,4775,5555,5305,6730,5945,5895,5680,4070,2960,4095,4495,5235,3675,3180,2805,2365,2930,3355
    62 Health care and social assistance,163465,6170,6210,7850,6410,6660,7435,6155,7690,5625,7555,6380,7480,7530,5965,6610,5390,6385,6830,6215,6925,7075,5260,4655,6515,6510
"    71 Arts, entertainment and recreation",33410,820,1120,1605,2640,800,865,685,1130,2165,2740,2495,2065,2080,2380,995,695,785,1065,1970,1040,670,575,455,670,890
    72 Accommodation and food services,82155,3290,2260,3160,3355,3030,3100,3195,2705,3730,4650,3395,3010,4750,3205,1975,2200,2920,3490,2965,3865,4025,3600,3950,3415,2915
    81 Other services (except public administration),61010,2125,2180,2935,2645,2725,3265,2645,3365,2950,2885,2315,2855,2805,2565,2125,1965,2065,2305,2405,2230,2125,2015,1660,1945,1895
    91 Public administration,54970,1305,2530,3320,2760,1450,1700,1115,1850,2595,3750,2500,2800,3135,3080,1865,1665,1940,2320,2860,2225,1595,1460,1250,1635,2250
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,1308110,47840,53450,73170,54650,48010,49825,43655,53845,54715,91810,55190,61350,63845,52435,46200,40605,51425,56595,51100,46020,47210,41315,37745,41920,44200
  Worked at home,510240,8415,18975,30320,27010,9585,12580,6175,21585,23235,57415,30375,31385,32935,26805,22165,13560,21095,24725,23410,13180,11590,12045,9145,10155,12370
  Worked outside Canada,6400,160,290,360,135,95,185,125,260,140,590,385,265,350,170,435,240,460,595,130,150,165,215,210,155,125
  No fixed workplace address,142290,8260,6590,7780,4570,9945,6565,8040,4800,7520,4955,3300,4170,4315,4210,3615,5135,5050,5000,4845,6420,6400,5080,4945,5575,5175
  Worked at usual place,649185,31000,27590,34710,22930,28380,30500,29315,27195,23825,28850,21125,25520,26245,21250,19990,21670,24810,26275,22705,26265,29050,23975,23440,26035,26530
,,,,,,,,,,,,,,,,,,,,,,,,,,
Income and Shelter Costs,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Household total income groups in 2020 for private households - 25% sample data,"$1,160,895","$38,135","$45,345","$65,575","$49,440","$45,055","$41,265","$37,675","$45,915","$45,670","$80,730","$53,510","$58,105","$68,965","$46,235","$40,030","$38,285","$45,785","$50,550","$45,705","$41,905","$40,565","$38,345","$29,545","$36,245","$32,315"
"  Under $5,000","$22,005",$325,$265,$900,$655,$540,$485,$565,$555,$650,"$2,595","$2,105","$1,230","$3,015",$630,$615,$465,"$1,215","$2,000",$500,$460,$650,$685,$330,$375,$185
"  $5,000 to $9,999","$10,435",$225,$155,$450,$405,$280,$275,$235,$270,$425,"$1,050",$915,$520,"$1,490",$340,$235,$285,$480,$780,$275,$310,$305,$240,$95,$300,$115
"  $10,000 to $14,999","$18,200",$485,$235,$840,$930,$820,$575,$525,$590,$575,"$1,365","$1,100",$855,"$2,725",$710,$405,$395,$425,$795,$860,$910,$420,$410,$225,$775,$255
"  $15,000 to $19,999","$23,780",$545,$520,"$1,385","$1,245","$1,260",$730,$795,$745,"$1,060","$1,760","$1,305","$1,225","$2,310",$935,$580,$720,$925,"$1,095",$990,$775,$785,$725,$340,$700,$330
"  $20,000 to $24,999","$52,555","$1,435","$1,200","$2,865","$2,480","$2,480","$2,095","$1,915","$2,060","$1,815","$2,900","$2,350","$2,905","$4,310","$2,550","$1,425","$1,785","$1,845","$2,315","$2,090","$2,085","$1,670","$2,190","$1,070","$1,860",$865
"  $25,000 to $29,999","$39,755","$1,260","$1,225","$2,155","$1,750","$2,000","$1,470","$1,555","$1,420","$1,805","$2,280","$1,895","$2,025","$3,170","$1,770","$1,055","$1,260","$1,315","$1,700","$1,675","$1,535","$1,515","$1,375",$735,"$1,195",$610
"  $30,000 to $34,999","$38,610","$1,365","$1,085","$1,830","$1,815","$1,855","$1,350","$1,375","$1,300","$1,475","$2,210","$1,950","$1,885","$2,750","$1,525","$1,080","$1,350","$1,445","$1,740","$1,500","$1,560","$1,475","$1,480","$1,005","$1,335",$875
"  $35,000 to $39,999","$39,035","$1,425","$1,280","$2,025","$1,630","$1,850","$1,525","$1,500","$1,260","$1,705","$1,995","$1,560","$1,715","$2,635","$1,530","$1,065","$1,495","$1,525","$1,815","$1,570","$1,685","$1,555","$1,645",$980,"$1,290",$775
"  $40,000 to $44,999","$39,395","$1,365","$1,425","$2,090","$1,745","$1,945","$1,440","$1,680","$1,455","$1,605","$2,330","$1,680","$1,905","$2,505","$1,300","$1,080","$1,535","$1,545","$1,585","$1,400","$1,610","$1,575","$1,365","$1,055","$1,380",$780
"  $45,000 to $49,999","$39,635","$1,635","$1,450","$2,235","$1,750","$1,970","$1,505","$1,600","$1,315","$1,535","$2,330","$1,585","$1,965","$2,395","$1,405","$1,125","$1,600","$1,480","$1,605","$1,510","$1,395","$1,600","$1,435","$1,010","$1,380",$830
"  $50,000 to $59,999","$78,885","$2,905","$3,085","$4,160","$3,185","$3,550","$2,820","$3,225","$2,885","$3,070","$4,805","$3,165","$3,780","$4,745","$2,855","$2,455","$2,935","$3,185","$3,285","$2,805","$3,065","$3,255","$2,895","$2,230","$2,700","$1,840"
"  $60,000 to $69,999","$77,035","$2,840","$2,905","$4,160","$3,020","$3,415","$2,915","$2,950","$2,765","$2,930","$5,100","$3,115","$3,655","$4,515","$2,420","$2,385","$2,895","$3,250","$3,235","$2,860","$2,960","$3,140","$2,760","$2,295","$2,610","$1,945"
"  $70,000 to $79,999","$73,095","$2,840","$2,660","$4,020","$2,820","$2,985","$2,765","$2,750","$2,545","$2,840","$5,010","$2,805","$3,490","$4,345","$2,485","$2,070","$2,790","$2,945","$3,090","$2,615","$2,865","$2,940","$2,720","$2,000","$2,605","$2,105"
"  $80,000 to $89,999","$68,470","$2,635","$2,635","$3,825","$2,705","$2,770","$2,735","$2,580","$2,220","$2,695","$4,955","$2,660","$3,255","$4,045","$2,120","$2,110","$2,555","$2,955","$2,910","$2,325","$2,425","$2,660","$2,390","$2,010","$2,370","$1,915"
"  $90,000 to $99,999","$62,785","$2,165","$2,480","$3,650","$2,380","$2,415","$2,210","$2,225","$2,200","$2,390","$4,835","$2,425","$2,960","$3,340","$2,300","$1,850","$2,475","$2,660","$2,660","$2,195","$2,225","$2,495","$2,260","$1,930","$2,195","$1,855"
"  $100,000 and over","$477,225","$14,690","$22,755","$28,980","$20,930","$14,925","$16,375","$12,200","$22,320","$19,100","$35,220","$22,890","$24,725","$20,670","$21,355","$20,500","$13,760","$18,590","$19,945","$20,520","$16,035","$14,535","$13,770","$12,225","$13,175","$17,040"
"    $100,000 to $124,999","$126,785","$4,975","$4,935","$7,220","$4,775","$4,615","$4,910","$4,455","$4,485","$5,000","$9,630","$4,820","$5,535","$6,410","$4,365","$3,740","$4,400","$5,565","$5,685","$4,390","$4,815","$4,940","$4,530","$4,035","$4,345","$4,225"
"    $125,000 to $149,999","$90,685","$3,425","$4,085","$5,310","$3,420","$3,480","$3,310","$2,970","$3,235","$3,900","$6,810","$3,410","$4,275","$4,045","$3,290","$2,555","$2,865","$3,900","$3,925","$3,335","$3,245","$3,500","$3,165","$2,750","$3,015","$3,465"
"    $150,000 to $199,999","$111,655","$3,775","$5,455","$6,860","$4,310","$4,015","$4,005","$2,975","$4,240","$5,010","$8,375","$4,535","$5,080","$4,685","$4,930","$3,490","$3,200","$4,605","$4,580","$4,870","$4,085","$3,725","$3,400","$3,260","$3,335","$4,860"
"    $200,000 and over","$148,095","$2,510","$8,290","$9,590","$8,430","$2,815","$4,145","$1,805","$10,365","$5,190","$10,400","$10,130","$9,835","$5,535","$8,765","$10,720","$3,290","$4,520","$5,750","$7,925","$3,890","$2,365","$2,680","$2,175","$2,485","$4,490"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Income statistics in 2020 for private households by household size - 25% sample data,"$1,160,890","$38,130","$45,345","$65,575","$49,440","$45,050","$41,270","$37,675","$45,915","$45,670","$80,735","$53,505","$58,110","$68,965","$46,235","$40,030","$38,285","$45,785","$50,555","$45,700","$41,905","$40,560","$38,350","$29,545","$36,245","$32,315"
  Average total income of households in 2020 ($),"$121,200","$95,200","$146,600","$127,200","$127,200","$88,700","$107,500","$85,700","$176,400","$107,300","$118,200","$174,800","$160,400","$89,400","$130,800","$224,800","$100,300","$103,800","$106,300","$130,600","$102,200","$91,500","$93,000","$100,000","$92,700","$121,800"
  Median total income of households in 2020 ($),"$84,000","$81,000","$100,000","$90,000","$85,000","$72,000","$82,000","$73,000","$97,000","$85,000","$89,000","$84,000","$86,000","$65,000","$93,000","$102,000","$78,500","$84,000","$81,000","$89,000","$79,000","$78,000","$77,000","$87,000","$78,000","$105,000"
