Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
    81 Other services (except public administration),67390,2275,2635,3045,2870,3395,3780,2590,3850,3215,2495,2440,3505,2805,2835,2180,2425,2190,2835,2610,2510,2570,2380,1930,1955,2065
    91 Public administration,53390,1465,2640,3355,2825,1540,1835,945,1725,2280,2965,2500,2580,2835,3080,1835,1620,1760,2415,3040,2120,1800,1200,1260,1635,2135
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,1361375,51215,57505,70990,60505,53105,51610,45390,56615,61370,82210,57620,60260,58660,57280,48690,42745,51535,57355,55835,50465,50305,44990,43330,43195,48605
  Worked at home,101280,1550,4495,5750,6445,1875,2775,1135,5455,4605,7540,6920,6410,4515,5580,6015,2940,4110,5180,5065,2550,1960,2510,1785,1800,2310
  Worked outside Canada,9040,250,305,350,330,135,250,155,290,255,695,650,425,415,220,560,265,680,930,245,210,245,390,335,210,240
  No fixed workplace address,156250,7740,6725,8420,6075,9640,7255,7250,5505,9610,6065,4835,5170,4790,5800,4265,5055,5390,6005,5860,6275,6875,5440,5290,5560,5360
  Worked at usual place,1094805,41670,45980,56470,47655,41455,41330,36855,45365,46900,67910,45215,48250,48930,45680,37850,34485,41355,45240,44665,41425,41225,36650,35925,35630,40700
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Income and Shelter Costs,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Household total income groups in 2015 for private households - 25% sample data,1112930,37890,45045,59735,50315,44930,39845,36215,44225,45595,67935,51215,53355,58510,46150,39685,38065,42475,49960,45995,41505,40290,36760,29345,35935,31960
"  Under $5,000",33170,650,550,1410,1300,805,790,675,880,975,2845,3265,1495,3445,985,1030,975,1735,3895,1015,730,1100,1045,535,745,310
"  $5,000 to $9,999",22905,605,350,1080,1175,1070,575,675,675,1035,1320,1630,995,2640,915,615,575,790,1260,1020,1185,655,525,350,850,345
"  $10,000 to $14,999",36660,955,640,1800,2185,1935,1095,1210,1115,1645,2015,2175,1625,3690,1640,975,970,1165,1640,1780,1765,1285,880,540,1425,520
"  $15,000 to $19,999",54290,1485,1170,2655,2785,2875,2325,1980,1965,2145,2545,2340,2880,4330,2725,1405,1985,1850,2575,2350,2180,1745,2075,1090,2085,755
"  $20,000 to $24,999",47530,1645,1600,2420,2445,2695,1830,2015,1660,2075,2160,1980,2220,2855,2025,1255,1715,1710,2150,2070,2105,1765,1665,975,1650,850
"  $25,000 to $29,999",47620,1860,1505,2340,2105,2460,1905,1985,1545,1900,2115,1775,2090,2565,1850,1325,1955,1875,2190,1920,2010,2065,2010,1400,1865,1000
"  $30,000 to $34,999",46760,1870,1720,2205,2010,2340,1970,2165,1575,2045,1980,1675,1845,2320,1955,1365,1900,1885,2025,1910,2000,2170,1795,1295,1770,970
"  $35,000 to $39,999",47240,1985,1580,2170,1940,2515,2120,2185,1815,2085,2070,1935,1975,2405,1695,1340,1700,1715,1855,1790,1910,2105,1965,1415,1760,1215
"  $40,000 to $44,999",46405,2040,1705,2365,1920,2330,1755,1975,1625,1905,2215,1710,2140,2285,1790,1300,1870,1695,1845,1795,2030,2105,1790,1395,1770,1065
"  $45,000 to $49,999",44305,1810,1790,2325,2035,1985,1910,1990,1460,1885,2230,1495,1950,2220,1525,1255,1830,1630,1680,1705,1930,2005,1640,1315,1600,1110
"  $50,000 to $59,999",83580,3625,3225,4010,3455,3865,3165,3490,3005,3570,4740,3135,3635,4185,3000,2510,3345,3195,3480,2890,3145,3655,2985,2605,3150,2515
"  $60,000 to $69,999",76725,3280,3125,4375,3105,3320,2890,2820,2700,3150,4885,2775,3565,3800,2760,2145,3000,3010,3020,2760,2845,3235,2730,2555,2585,2305
"  $70,000 to $79,999",68200,2715,2795,3740,2690,2775,2510,2425,2465,2795,4845,2550,3210,3270,2325,1955,2690,2810,2770,2315,2560,2885,2485,2200,2400,2025
"  $80,000 to $89,999",60710,2210,2670,3285,2335,2200,2420,2095,2210,2550,4285,2460,2765,2785,2285,1820,2200,2450,2705,2210,2225,2315,2145,1930,2030,2120
"  $90,000 to $99,999",53640,2025,2310,3200,2310,2190,1950,1695,1750,2420,3915,1970,2480,2485,1990,1525,1855,2065,2360,2055,1950,2020,1840,1655,1760,1860
"  $100,000 and over",343180,9135,18310,20355,16520,9570,10635,6825,17790,13425,23770,18345,18500,13235,16680,17875,9510,12905,14520,16410,10925,9170,9205,8090,8495,12995
"    $100,000 to $124,999",100330,3810,4670,5465,4160,3915,3515,2910,3485,4825,7395,3915,4260,4320,3815,2910,3290,4080,4250,4100,3835,3665,3495,3065,3250,3930
"    $125,000 to $149,999",67475,2355,3370,3840,2930,2400,2315,1735,2485,3095,4965,2900,2965,2585,3080,2090,1990,2710,2950,2905,2320,2310,1995,2015,2060,3110
"    $150,000 to $199,999",78515,2030,4460,5090,3765,2095,2440,1505,3005,3455,5395,3665,3520,3050,4295,3120,2150,2990,3410,4195,2815,2250,2285,1995,2030,3500
"    $200,000 and over",96865,935,5805,5965,5670,1160,2365,675,8815,2045,6010,7865,7755,3275,5500,9750,2080,3120,3915,5210,1950,945,1430,1015,1155,2460
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Income statistics in 2015 for private households by household size - 25% sample data,1112925,37895,45045,59735,50320,44930,39840,36215,44220,45590,67935,51215,53355,58510,46150,39685,38065,42480,49960,45995,41500,40290,36760,29345,35935,31960
  Average total income of households in 2015 ($),102721,73374,128448,105994,99784,67954,86717,65458,162674,80807,103047,170832,155470,75382,101323,216158,80648,87491,87416,104123,78561,70624,75768,78984,72289,99715
  Median total income of households in 2015 ($),65808,61169,82870,71859,65546,53469,61725,53530,78626,64866,75825,68733,70710,51204,70920,87360,60673,66261,61189,69977,59220,58447,60064,66771,57953,84445
Total - Income statistics in 2015 for one-person private households - 25% sample data,359990,7230,11065,22520,20235,13020,10645,7570,13375,14220,35285,22215,23980,31460,16050,11530,11920,10590,15465,14835,11615,9980,7770,3860,8545,4995
  Average total income of one-person households in 2015 ($),55409,37579,54010,57259,48014,35431,41754,32138,59196,42727,75828,83593,70226,54084,50866,81017,50605,53804,53955,48536,38879,39427,39633,39588,37866,48389
  Median total income of one-person households in 2015 ($),38196,29259,43021,44452,35480,25465,30407,24664,38484,31352,61091,41136,46068,36695,34541,47207,40677,39984,41516,32723,29067,32095,27828,27340,26403,38390
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",525825,16945,14875,25875,28945,22995,20240,18620,19925,22210,38595,29575,32430,41500,20640,18625,20890,17625,19625,20405,18355,16935,11985,5660,15920,6425
  Average monthly shelter costs for rented dwellings ($),1242,1064,1303,1229,1174,957,1177,1011,1245,1226,1673,1560,1384,1214,1123,1353,1205,1390,1537,1082,936,1067,1103,1144,950,1097
  % of tenant households spending 30% or more of its income on shelter costs,46.8,42.8,44.2,46.4,45.6,45.6,46.5,44.4,43.1,47.4,44.6,52.3,47.1,46.5,46,48,47.4,53.2,59.4,46.8,44,44.3,47.4,45.8,44.9,42.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",587080,20945,30175,33860,21370,21935,19600,17590,24290,23375,29340,21635,20925,17015,25510,21060,17175,24845,30330,25590,23145,23350,24780,23685,20015,25535
  Average monthly shelter costs for owned dwellings ($),1682,1425,1606,1713,1898,1406,1544,1368,2068,1585,1916,2029,2047,1840,1748,2353,1526,1575,1814,1784,1560,1377,1371,1384,1430,1572
  % of owner households spending 30% or more of its income on shelter costs,27.4,27.3,20.1,24.1,22,27.9,26.7,28.5,21,25.8,36,27.9,22.9,34.6,21,19.7,27.9,32.3,40.3,21.2,27,29.6,34.7,33.6,27.3,24.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 25% sample data,2691665,116955,116055,127525,106445,115130,103760,107725,112925,107400,114315,100515,104945,99590,105400,101790,93170,109055,117405,108435,108290,110450,104225,97610,101115,101440
"In low income based on the Low-income measure, after-tax (LIM-AT)",543365,26300,13525,19640,18535,27195,19470,27670,15685,17505,19740,20260,16945,31020,18485,18620,21800,24780,32565,20005,25585,24735,24285,20100,26310,12620
"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",20.2,22.5,11.7,15.4,17.4,23.6,18.8,25.7,13.9,16.3,17.3,20.2,16.1,31.2,17.5,18.3,23.4,22.7,27.7,18.4,23.6,22.4,23.3,20.6,26,12.4
,,,,,,,,,,,,,,,,,,,,,,,,,,
Income,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Total income groups in 2015 for the population aged 15 years and over in private households - 25% sample data,2294785,95290,98785,110720,90625,95660,88040,87560,92465,93955,106895,91375,92245,91410,88795,82625,78080,94405,103860,89250,89655,92275,89925,82745,83080,85060
  Without total income,107560,5845,4110,3750,3245,5175,4235,5415,4495,3180,2260,2845,3000,3030,3095,4565,4710,5155,5895,3925,5070,5265,4580,4885,5030,4795
  With total income,2187225,89445,94675,106965,87380,90485,83805,82145,87970,90775,104630,88535,89245,88375,85700,78060,73370,89255,97960,85320,84585,87010,85350,77855,78050,80265
"    Under $10,000 (including loss)",388570,18485,13910,14865,12630,15900,14110,16870,13180,13805,13455,16250,12125,16300,12860,12720,13480,19580,24205,13575,15920,17205,18565,17805,16070,14670
"    $10,000 to $19,999",411160,20100,14750,16495,14210,20005,17505,19855,13510,18375,13310,13535,12900,16910,15905,11605,14045,16730,17520,14775,17805,18455,20460,19395,17405,15585
"    $20,000 to $29,999",290580,14395,11945,12630,10670,14965,13575,14250,11120,13745,9625,9835,10225,9805,10155,7605,10355,11430,10875,10135,12130,13775,13030,11950,11910,10450
"    $30,000 to $39,999",221505,11015,9280,10600,8150,11305,9915,10440,8665,10045,8390,7170,7855,7715,7450,5830,8070,8440,8395,7990,9245,10755,8995,8420,8800,8560
"    $40,000 to $49,999",188475,8635,8445,9860,7585,8695,7865,7885,7225,8475,8940,6500,7570,7160,6490,5365,6530,7265,6930,6780,7720,8370,6815,6310,7255,7805
"    $50,000 to $59,999",144180,5675,7065,8010,6075,6200,5360,4940,5415,6275,8175,5230,6165,5650,5505,4595,5050,5425,5870,5735,5460,5900,4945,4360,4885,6240
"    $60,000 to $69,999",114915,3700,6165,6965,5305,4355,3875,2875,4405,5235,7895,4350,5220,4975,4775,3975,3850,4555,4715,4665,4300,4065,3595,3095,3495,4520
"    $70,000 to $79,999",89780,2570,4665,5505,4165,2725,2765,1790,3445,4220,7295,4060,4550,4215,3845,3300,2985,3490,4070,4030,3090,2900,2425,1985,2500,3185
"    $80,000 to $89,999",69855,1570,3800,4550,3330,2175,2165,1190,2780,2945,5785,3145,3640,3460,3510,2920,2100,2880,3290,3270,2195,1790,1925,1410,1790,2230
"    $90,000 to $99,999",58180,1230,3380,3770,3105,1505,1685,810,2375,2145,4490,2770,2915,2730,3265,2570,1750,2300,2800,3175,2115,1335,1330,1120,1330,2170
"    $100,000 and over",210030,2065,11260,13720,12145,2655,4985,1240,15845,5500,17270,15690,16085,9450,11935,17565,5155,7165,9300,11185,4615,2470,3265,2000,2615,4845
"      $100,000 to $149,999",119810,1680,6305,8100,6680,2140,3075,1020,6540,4070,10595,6770,7100,5805,7160,7170,3465,4780,5940,6455,3175,2050,2480,1650,1955,3630
"      $150,000 and over",90220,395,4965,5620,5465,520,1910,215,9305,1435,6675,8915,8980,3645,4775,10395,1690,2380,3355,4730,1430,420,780,350,665,1215
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,,,,,,,,,,,,,,,,,,,,,,,,,,
    Average total income in 2015 among recipients ($),52268,31085,61115,59192,57459,33742,41225,28856,81773,40586,66906,98820,92952,49909,54560,109887,41842,41638,44579,56130,38546,32702,32634,29770,33282,39708
    Median total income in 2015 among recipients ($),30122,23747,37117,38937,37536,25699,27204,22717,36997,29583,48378,36437,41868,31481,34899,42164,28636,26995,26244,35026,26592,25364,22411,21250,24284,29351
,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total - Income statistics in 2015 for males aged 15 years and over in private households - 25% sample data,,,,,,,,,,,,,,,,,,,,,,,,,,
      Average total income in 2015 among recipients ($),62667,34014,76307,69949,65327,37282,48080,31891,107355,44631,79050,134807,129238,55792,60651,156979,46621,46304,51052,63737,41991,35308,35389,32165,35973,43732
      Median total income in 2015 among recipients ($),33526,25897,42140,43480,40385,28897,30651,25198,42725,33276,54274,39188,46523,34903,37767,47559,30638,29351,29108,38729,28750,27815,24023,22302,25992,32375
,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total - Income statistics in 2015 for males aged 15 years and over in private households - 25% sample data,,,,,,,,,,,,,,,,,,,,,,,,,,
      Average total income in 2015 among recipients ($),42807,28338,47572,49285,50340,30633,35335,26137,60731,36679,54751,66073,62821,43076,48842,68303,37778,37532,38896,49219,35362,30361,30213,27558,30822,36059
      Median total income in 2015 among recipients ($),27551,22126,33406,34709,35159,23871,24996,21011,33105,26174,43631,34353,38513,27890,32510,38171,26931,25324,24127,32198,25054,23849,21268,20302,22852,26918
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - Sex,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total income %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
  Market income %,90.7,80.7,91.1,92.2,92.6,81.7,86.9,77.7,94.2,89,96.6,96.5,95.3,92.6,91.6,96.1,86.5,88.7,91.7,91.3,85.5,82.9,83,82.9,81.7,86.7
    Employment income %,74.6,71.8,70.1,77.1,80.1,72.9,72.6,70.3,72.8,80.8,87.7,71,69.2,81,81.3,73.2,70.1,69.4,73.6,79,74.9,72.9,68.4,71.4,69.5,74.6
"      Wages, salaries and commissions %",68.4,68.8,64.4,71.1,72.6,69.1,65.7,67.3,62.4,74.3,82.1,63.8,60.9,74.5,73.9,65,65.5,64.4,68.1,72.9,70.8,69.9,64.4,67.7,66.2,71.6
      Net self-employment income %,6.2,3,5.8,6,7.6,3.8,6.8,3,10.3,6.5,5.6,7.2,8.3,6.6,7.5,8.2,4.6,5,5.5,6.1,4.1,3,4,3.7,3.3,3
    Investment income %,8.7,2.2,10.5,7,6.1,2.9,8.1,1.7,14.3,3.6,5.4,17,18.3,5.3,4.7,15.9,6.2,8.5,10.1,5.5,2.8,2.3,5,3.4,2.6,2.9
    Private retirement income %,5,5.1,7.8,5.8,4.4,4.4,4.3,3.7,4.3,2.8,1.7,4.6,5.3,3.8,3.5,4.3,8,8.1,5.6,4.5,5.7,5.9,7.4,5.6,7.6,6.8
    Market income not included elsewhere %,2.4,1.6,2.6,2.3,2,1.4,1.9,2,2.9,1.8,1.8,3.8,2.5,2.5,2,2.8,2.2,2.7,2.5,2.3,2.1,1.8,2.2,2.4,2,2.4
  Government transfers %,9.3,19.3,8.9,7.8,7.4,18.3,13.1,22.3,5.8,11,3.4,3.5,4.7,7.4,8.4,3.9,13.5,11.3,8.3,8.7,14.5,17.1,17,17.1,18.3,13.3
    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS) %,2.5,4.6,2.5,2.1,1.9,4.4,3.8,5.3,1.5,2.9,0.9,1,1.3,1.7,2.4,0.9,3.7,3.5,2.7,2.1,3.4,4.5,6.1,5.6,4.6,3.7
    Canada Pension Plan (CPP) and QuÚbec Pension Plan (QPP) benefits %,2.6,4.1,3.5,2.7,2.1,4.3,3.5,4.5,2,2.7,0.8,1.4,1.8,1.7,2.2,1.4,3.8,3.4,2.4,2.4,3.6,4.2,4.2,3.4,4.1,3.7
    Employment Insurance (EI) benefits %,0.8,1.6,0.7,0.8,0.9,1.7,1.2,1.7,0.5,1.3,0.5,0.3,0.4,0.7,0.9,0.3,1.1,0.8,0.7,0.9,1.3,1.4,1.3,1.7,1.4,1.2
    Child benefits $,1.3,3.9,0.9,0.8,0.8,3,1.8,4.5,0.8,1.2,0.3,0.2,0.4,0.9,1,0.6,2,1.5,1,1.2,2.5,3,2.3,3.1,3.4,2.1
    Other government transfers %,2,5.1,1.3,1.4,1.8,5,2.8,6.3,1,2.9,0.8,0.6,0.7,2.5,1.9,0.6,2.9,2,1.5,2,3.8,4,3.1,3.4,4.7,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex:   Male,,,,,,,,,,,,,,,,,,,,,,,,,,
Total income %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
  Market income %,93.8,86.5,94,94.6,94.6,86.6,90.6,84.3,96.5,91.2,97.9,97.6,97.2,94.3,93.8,97.9,90.6,91.8,94.2,94,89.4,87.7,87.5,87.7,87.2,90.2
    Employment income %,77.8,77.3,72.9,79.2,82.1,78.3,75.6,76.2,77.5,82.8,88.8,73.2,71.8,83,84.1,76.9,74.5,73.5,76.9,82.4,78.8,77.9,74,76.7,74.5,77.5
"      Wages, salaries and commissions %",70.8,73.3,66,72,74,73.2,67.7,72.1,65.2,75.7,82.9,66.4,63.1,76.2,75.4,68.7,69,67.2,71.2,76,73.8,74.1,68.8,72.1,70.2,73.9
      Net self-employment income %,7,4,6.9,7.2,8.1,5.1,7.9,4.1,12.3,7.1,5.9,6.8,8.8,6.7,8.7,8.2,5.5,6.4,5.7,6.5,5,3.8,5.3,4.6,4.3,3.6
    Investment income %,9.3,2.3,11.8,7.6,6.6,2.5,9.2,1.8,13,3.4,5.8,17.2,19.3,5.7,4.7,15.6,7.1,8,10.1,5.3,2.7,2.4,4.4,3.1,2.8,3.3
    Private retirement income %,4.5,5.4,6.7,5.4,4.1,4.4,4.1,4.2,3.6,3.2,1.5,3.8,4.2,3.4,3.2,3.1,6.9,7.7,4.8,4.3,5.9,5.8,7.1,5.8,7.9,7.1
    Market income not included elsewhere %,2.2,1.5,2.6,2.4,1.7,1.4,1.8,2,2.4,1.8,1.8,3.4,1.8,2.3,1.8,2.3,2.1,2.6,2.4,1.9,2.1,1.6,2.1,2.1,2,2.3
  Government transfers %,6.2,13.5,6,5.4,5.4,13.4,9.4,15.8,3.5,8.8,2.1,2.4,2.8,5.7,6.2,2.1,9.4,8.2,5.8,6,10.6,12.3,12.5,12.3,12.9,9.8
    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS) %,1.8,3.6,1.7,1.5,1.4,3.4,2.8,4.2,0.9,2.2,0.6,0.6,0.8,1.3,1.9,0.5,2.7,2.6,2,1.6,2.8,3.5,4.7,4.6,3.7,3
    Canada Pension Plan (CPP) and QuÚbec Pension Plan (QPP) benefits %,2.2,4,2.7,2.2,1.8,4.1,3.2,4.6,1.5,2.6,0.6,1.1,1.3,1.5,2,0.9,3.2,3.1,2,2.1,3.3,3.9,3.9,3.3,3.9,3.5
    Employment Insurance (EI) benefits %,0.5,1.4,0.4,0.5,0.5,1.5,0.8,1.5,0.2,0.9,0.3,0.1,0.2,0.5,0.4,0.1,0.7,0.6,0.4,0.5,1,1.1,0.9,1.2,1.1,0.9
    Child benefits $,0.1,0.2,0.1,0,0,0.2,0.1,0.3,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1
    Other government transfers %,1.7,4.4,1.1,1.1,1.6,4.3,2.5,5.1,0.7,3,0.7,0.5,0.5,2.3,1.7,0.5,2.6,1.8,1.3,1.8,3.5,3.8,2.9,3.2,4,2.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex:   Female,,,,,,,,,,,,,,,,,,,,,,,,,,
Total income %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
  Market income %,86.7,74.2,86.8,89.1,90.2,76.4,82.6,70.6,90.9,86.3,94.8,94.3,92.2,90.2,88.9,92.6,82.2,85.4,88.8,88.2,81.1,77.9,78.4,77.7,76,82.9
    Employment income %,70.3,65.7,66.2,74.4,77.8,67.2,69.1,63.8,65.9,78.5,86.1,67,64.6,78.2,78.2,65.6,65.5,64.9,69.7,74.9,70.6,67.8,62.6,65.7,64.2,71.4
"      Wages, salaries and commissions %",65.2,63.7,62,70,70.9,64.8,63.4,62,58.4,72.6,80.9,59.1,57.1,71.9,72.1,57.4,61.8,61.4,64.5,69.3,67.5,65.6,59.9,62.9,61.9,69
      Net self-employment income %,5.1,2,4.2,4.4,6.9,2.4,5.6,1.8,7.5,5.9,5.2,7.9,7.5,6.3,6.1,8.2,3.6,3.5,5.2,5.6,3.1,2.1,2.7,2.8,2.3,2.4
    Investment income %,7.9,2.1,8.7,6.2,5.5,3.3,6.8,1.7,16.2,3.7,4.7,16.5,16.7,4.7,4.6,16.5,5.3,9.1,10,5.8,2.8,2.2,5.7,3.8,2.3,2.5
    Private retirement income %,5.7,4.7,9.3,6.2,4.6,4.4,4.6,3.1,5.3,2.3,2,6.1,7.2,4.4,3.9,6.5,9.2,8.5,6.4,4.7,5.6,6.1,7.8,5.5,7.3,6.5
    Market income not included elsewhere %,2.7,1.7,2.6,2.3,2.3,1.6,2.1,2,3.6,1.9,2,4.8,3.7,2.9,2.2,3.9,2.2,2.9,2.6,2.8,2.2,1.9,2.3,2.7,2.1,2.6
  Government transfers %,13.3,25.8,13.2,10.9,9.8,23.6,17.4,29.4,9.1,13.7,5.2,5.7,7.8,9.8,11.1,7.4,17.8,14.6,11.2,11.8,18.9,22.1,21.6,22.3,24,17.1
    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS) %,3.5,5.7,3.7,2.9,2.4,5.5,5,6.5,2.4,3.8,1.3,1.7,2.3,2.2,3,1.7,4.7,4.5,3.6,2.7,4.2,5.6,7.5,6.7,5.6,4.5
    Canada Pension Plan (CPP) and QuÚbec Pension Plan (QPP) benefits %,3.1,4.3,4.6,3.2,2.4,4.5,3.8,4.4,2.6,2.8,1.1,2,2.7,1.9,2.4,2.2,4.5,3.7,2.8,2.7,3.9,4.6,4.5,3.5,4.4,3.9
    Employment Insurance (EI) benefits %,1.2,1.9,1,1.2,1.3,1.8,1.6,2,0.8,1.7,0.8,0.5,0.7,0.9,1.4,0.6,1.4,1.1,1,1.5,1.6,1.7,1.7,2.1,1.8,1.5
    Child benefits $,3,8,2.2,1.7,1.8,6,3.8,9,1.9,2.6,0.8,0.6,1,2.1,2.2,1.9,4,3,2.1,2.7,5,5.9,4.5,6.3,6.9,4.3
    Other government transfers %,2.5,5.9,1.6,1.8,1.9,5.7,3.2,7.6,1.4,2.8,1.1,0.9,1,2.7,2.1,0.9,3.2,2.2,1.7,2.3,4.1,4.3,3.4,3.6,5.4,2.9
